I like it Still like it	__FROM__ 	Twitter	others
Audio loops no matter what you do other than shutting down the app.	__FROM__ 	Instagram	others
Instagram is the best app out rn besides Snapchat and i still think instagram is better but to all the other apps yall need to step yall game up big time!👌	__FROM__ 	Instagram	others
FB ruined it.	__FROM__ 	Instagram	others
Please fix this.	__FROM__ 	Instagram	others
Love it	__FROM__ 	Twitter	others
They suspended my account, but they still let me log into it!	__FROM__ 	Twitter	others
this is just irritating.	__FROM__ 	Chrome	others
i'm super duper love it so much :))))	__FROM__ 	Twitter	others
And its much better then Facebook.	__FROM__ 	Instagram	others
gjb but so many adds appears	__FROM__ 	Chrome	others
had ordered for 2chicken tandoori Biryani and 1special boneless chicken Biryani .	__FROM__	Uber	others
Love this app it is really useful... luv u Google	__FROM__ 	Chrome	others
Good app, but improvement is better.	__FROM__ 	Twitter	others
Gosto de ler livros com conteudos educativos.	__FROM__ 	Gmail	others
I have had a terrible experience with this app.	__FROM__ 	Twitter	others
But actually got charged Rs .	__FROM__	Uber	others
... feeling disgusted	__FROM__ 	Gmail	others
plz fix!	__FROM__ 	Gmail	others
Checked all setting etc.	__FROM__ 	Gmail	others
beutiful excited for everything we see	__FROM__ 	Instagram	others
Best decision I made coming to this app a few months ago👌	__FROM__ 	Twitter	others
I am a bit.	__FROM__ 	Chrome	others
Very sweet but I don't agree	__FROM__ 	Gmail	others
it's actually an awesome app	__FROM__ 	Instagram	others
sorry for the late review.	__FROM__ 	Chrome	others
hate this.	__FROM__ 	Twitter	others
I am really upset and disappointed.	__FROM__ 	Instagram	others
If it is not other thing it is another with the app.	__FROM__ 	Instagram	others
I don't know what you are talking about	__FROM__ 	Twitter	others
m. GM be wh my NM b e. b. be ex even BBQ ebbinug Te h. f	__FROM__ 	Gmail	others
Think can destribuit in indiA,, Twiter	__FROM__ 	Twitter	others
not bad , but he was creepy	__FROM__	Uber	others
Simply the best	__FROM__ 	Twitter	others
very good for all work	__FROM__ 	Chrome	others
I'm so Thankful for Twitter❤	__FROM__ 	Twitter	others
and slap for people like James Brown 🙄	__FROM__ 	Instagram	others
very good app.	__FROM__ 	Instagram	others
what happened	__FROM__ 	Twitter	others
It does what it's meant to, which I guess is why its so popular.	__FROM__ 	Instagram	others
Please fix this soon	__FROM__ 	Instagram	others
Alright it seems like the last update was fixed, this app is bearable	__FROM__ 	Instagram	others
it so cool and awesome apps.	__FROM__ 	Chrome	others
Twitter is cool to use	__FROM__ 	Twitter	others
I love this app in so many ways possible.	__FROM__ 	Instagram	others
keep it up.	__FROM__ 	Twitter	others
I am trying not the same.	__FROM__ 	Chrome	others
Honestly, there are so many problems that I just can't be bothered to name them all.	__FROM__ 	Twitter	others
Google is always fine, which loved through the world...	__FROM__ 	Gmail	others
very good app and i have been using it for some time now	__FROM__ 	Gmail	others
Fabulous!	__FROM__ 	Instagram	others
it's very away full app	__FROM__ 	Twitter	others
Fast and reliable service.	__FROM__ 	Twitter	others
Yikes, this app has taken a turn for the worst.	__FROM__ 	Twitter	others
😘love u insta I am obsessed with it.	__FROM__ 	Instagram	others
uber auto drivers asking CASH only .	__FROM__	Uber	others
I love it !	__FROM__ 	Instagram	others
Will be taking taxis in the future until support actually works .	__FROM__	Uber	others
Very annoying!	__FROM__ 	Chrome	others
This is very Halpfull App	__FROM__ 	Chrome	others
becoming a rip off .	__FROM__	Uber	others
"Whenever you try to dm someone a post from a private account, it should TELL you which friends follow that account rather than tell you ""oh by the way, this sccount is private"""	__FROM__ 	Instagram	others
It would be nice to not be forced to have this app.	__FROM__ 	Gmail	others
Love it.	__FROM__ 	Instagram	others
It said I had 3 new email, but 2 of them were ads.	__FROM__ 	Gmail	others
This is fun!!!	__FROM__ 	Instagram	others
i dont want to have an account there if its suspended.	__FROM__ 	Twitter	others
Twitter is one of my most Favorite Apps.	__FROM__ 	Twitter	others
Very good better then microsoft browsers	__FROM__ 	Chrome	others
No joy.	__FROM__ 	Gmail	others
Gostaria de publicar.	__FROM__ 	Gmail	others
it is a nice app	__FROM__ 	Instagram	others
almost every single person who needs	__FROM__ 	Instagram	others
Wishing you beautiful moments, treasured memories, and all the blessings a heart can know.	__FROM__ 	Chrome	others
I loved this app Best app in the world	__FROM__ 	Instagram	others
i love this app so much ❤	__FROM__ 	Instagram	others
Love this app....	__FROM__ 	Instagram	others
It's easy to use and awesome experience in life by using it.	__FROM__ 	Instagram	others
this is the best app for socialising	__FROM__ 	Instagram	others
best aap ever...i love this app ...its so interesting ....great followers	__FROM__ 	Instagram	others
I love it the most .	__FROM__ 	Instagram	others
I LOVE and ENJOY Instagram very much	__FROM__ 	Instagram	others
This Is So Diversified I Just Love All The People❤❤❤❤Thanks For Sharing.	__FROM__ 	Instagram	others
i report something as spam, 8, 9, 10 times and it still continues to send all the spam to my inbox and the things i want in my inbox keep going to spam	__FROM__ 	Gmail	others
Great app.	__FROM__ 	Instagram	others
See how things go !	__FROM__ 	Gmail	others
Thanks .	__FROM__ 	Instagram	others
very nice	__FROM__	Uber	others
good	__FROM__	Uber	others
Its way better than Facebook.......I mean both are kinda same but its obviously more entertaining and bcoz of it I have stopped using Facebook✌👊 keep it up guys!	__FROM__ 	Instagram	others
This version keeps quitting on me.	__FROM__ 	Twitter	others
I love it one of my favorite platform	__FROM__ 	Instagram	others
Have Google pixel phone and emails getting stuck in outbox draft.	__FROM__ 	Gmail	others
no doubt its best always	__FROM__ 	Chrome	others
It's a technical mess.	__FROM__ 	Twitter	others
love it keeps me connected	__FROM__ 	Chrome	others
most comments are good not mean hearted	__FROM__ 	Twitter	others
it is very good sorce for many things	__FROM__ 	Twitter	others
I am Raj Anand is a good idea of the show blocked by the end of this movie was a very good at the moment and just a few minutes walk to the right to cancel your booking and are not logged into the world is not a problem for me and I have been a while to reply to the UK and Ireland and Wales no problem at all levels you can get a quote for the update your details below and we will have to do it for the update and comments and opinions expressed in w w the two w the two countries have a look at ou	__FROM__ 	Instagram	others
its very very very good app	__FROM__ 	Instagram	others
I want more stars to rate.	__FROM__ 	Instagram	others
its amazing and addictive and i absolutely cannot live without it.	__FROM__ 	Instagram	others
Amazing love the filters 😍😍😍	__FROM__ 	Instagram	others
when it works it works great.	__FROM__ 	Instagram	others
sucks	__FROM__ 	Chrome	others
very good.	__FROM__ 	Chrome	others
it has been like this for over a week now.	__FROM__ 	Instagram	others
Great app.	__FROM__ 	Instagram	others
its realy ammmmmmmazing.....a lllove it	__FROM__ 	Chrome	others
my experience is all good with using instagram.	__FROM__ 	Instagram	others
Has a problem with the captionnnnn	__FROM__ 	Instagram	others
I love it!	__FROM__ 	Instagram	others
loving it ❤	__FROM__ 	Instagram	others
was hoping if i got on twitter he would respond.	__FROM__ 	Twitter	others
very useful Aap .. very social working	__FROM__ 	Twitter	others
not working	__FROM__	Uber	others
The driver did not speak english .	__FROM__	Uber	others
is best application and is quick and i like it	__FROM__ 	Chrome	others
