cant login acct at all ig sucks	__FROM__ 	Instagram	problem discovery
sometimes i have a hard time saving images.	__FROM__ 	Twitter	problem discovery
there is only one problem i have seen.i dont have copy link in the videos and pictures	__FROM__ 	Instagram	problem discovery
Spotify connect not working yet with regular photo :( Version 75.0	__FROM__ 	Instagram	problem discovery
will not open.	__FROM__ 	Instagram	problem discovery
"I was sent a post as usual, but the app showed my ""please update app"" instead of it."	__FROM__ 	Instagram	problem discovery
logs me out every time i restart my device.	__FROM__ 	Twitter	problem discovery
Last update broke driver 's location at real time .	__FROM__	Uber	problem discovery
I don't always get the notifications and customer service is very difficult to reach.	__FROM__ 	Chrome	problem discovery
worst application again n again i have to enter my no otp name unable to login	__FROM__	Uber	problem discovery
it won't let me on instagram I never have been on instagram but you guys somehow have me band before I could even start	__FROM__ 	Instagram	problem discovery
It gets stuck while using the app	__FROM__ 	Instagram	problem discovery
it don't let me log into any accounts	__FROM__ 	Instagram	problem discovery
navigation bar goes away when I click on a tweet...if I click on 4 tweets in a row, I have to hit the back button 4 times to get back to my home feed.	__FROM__ 	Twitter	problem discovery
application does not work , website does not work , and customer support does not work .	__FROM__	Uber	problem discovery
there is a problem in stories when story isnposted from a defferent screen ration like 18:9 to 16:9	__FROM__ 	Instagram	problem discovery
For tablet all post and story have bug, please fix it rate 1h when is post ex 5 min ago	__FROM__ 	Instagram	problem discovery
This app show me unfortunately Instagram has stopped so I hate this app	__FROM__ 	Instagram	problem discovery
Still freezes from time to time.	__FROM__ 	Instagram	problem discovery
"Left a bag in an Uber , could not reach driver b/c my phone number ""  is n't associated with my account or Caller ID can not be verified . """	__FROM__	Uber	problem discovery
I should give you guys a load rating but I've been with you guys for a couple years now why is it that I can't like post anymore it keeps saying that I was blocked for some reason why tell me why am I blocked why should I be blocked I barely use it Instagram like that	__FROM__ 	Instagram	problem discovery
Its not working on android .so many times hanged my phone.	__FROM__ 	Instagram	problem discovery
I can't post video after update it a week ago.. when I klik next after applying effect, it bring me to the home feed, and my video won鈥檛 uploaded	__FROM__ 	Instagram	problem discovery
the map does not work .	__FROM__	Uber	problem discovery
Suddenly last night all my emails that would normally go to the promotions folder are now showing up in my main inbox and I'm getting alerts all night for junk.	__FROM__ 	Gmail	problem discovery
Loading of tweets slow.	__FROM__ 	Twitter	problem discovery
please fix this.	__FROM__ 	Twitter	problem discovery
open account in 2 minutes n used right away .	__FROM__	Uber	problem discovery
why i can't use the latest features of app like polling, asking questions and many more...ky app is updated still... please give me solution because it's quiet old problem	__FROM__ 	Instagram	problem discovery
First the speech button pops up when I didn't press it and then my phone goes blank for a second.	__FROM__ 	Instagram	problem discovery
No notifications of received mail, takes forever to load messages/load mail accounts.	__FROM__ 	Gmail	problem discovery
won't refresh feed.	__FROM__ 	Twitter	problem discovery
could not access to the application due to some reason , so no use .	__FROM__	Uber	problem discovery
i would give it 5 stars but im having trouble logging in.	__FROM__ 	Instagram	problem discovery
"Im trying to olen it but its says ""cannot create account""."	__FROM__ 	Twitter	problem discovery
No way to change default zoom from page overview.	__FROM__ 	Chrome	problem discovery
Sometimes can't connect so tweet doesn't load.	__FROM__ 	Twitter	problem discovery
paytm not accepting this is problem .	__FROM__	Uber	problem discovery
This is very good application but i am facing issue, when i am following someone, when i am try to follow someone, i am not able to do that	__FROM__ 	Instagram	problem discovery
shout out for the idea but Bugs are annoying.	__FROM__ 	Instagram	problem discovery
I liked it , but suddenly I can't open it anymore, it says something like , my account is not working , or something like that .	__FROM__ 	Twitter	problem discovery
Mail will not send, remains in outbox indefinitely.	__FROM__ 	Gmail	problem discovery
my account is not linked with any email and i have forgotten my password .	__FROM__	Uber	problem discovery
i cant log in into my account!	__FROM__ 	Instagram	problem discovery
i just literally deleted a bunch of my emails and minutes later they were back.	__FROM__ 	Gmail	problem discovery
Whenever i turn off the retweets for some profiles, again it gets turned on automatically.	__FROM__ 	Twitter	problem discovery
My emails sync stopped since.	__FROM__ 	Gmail	problem discovery
Even after the software update it still not stable.	__FROM__ 	Instagram	problem discovery
Nice application But I can not add payment options other than paytm ... ..	__FROM__	Uber	problem discovery
keep frezzing up my phone	__FROM__ 	Instagram	problem discovery
On a laptop this app does not let you edit your profile or change your profile pic.	__FROM__ 	Instagram	problem discovery
Can't disable Conversation mode I've an exchange email address linked to Gmail.	__FROM__ 	Gmail	problem discovery
Conversation view option is not getting disabled after recent update.	__FROM__ 	Gmail	problem discovery
every time i try to log in im lead to a different account.	__FROM__ 	Instagram	problem discovery
the application will not let me sign in .	__FROM__	Uber	problem discovery
new updattes sucks... my app not working properly... when ever i use to open it.. its hanged... a d not start working... me usimg oppo f3...	__FROM__ 	Instagram	problem discovery
can not use the application to get a ride .	__FROM__	Uber	problem discovery
i cant add tagged story from my friends to my story, even my app is updated.	__FROM__ 	Instagram	problem discovery
i use that account but its not the one i want to be logged onto.	__FROM__ 	Instagram	problem discovery
Useless when trying to schedule a ride in Advance with uber SELECT or van .	__FROM__	Uber	problem discovery
I have had to uninstall and reinstall it multiple times, and it's quite ridiculous.	__FROM__ 	Twitter	problem discovery
sometimes driver does not show on map or his location get freezes .	__FROM__	Uber	problem discovery
app keeps stopping after someone said they will hack me they did now app is not working correctly.	__FROM__ 	Instagram	problem discovery
Will never use service Will use Lyft instead .	__FROM__	Uber	problem discovery
instagram is ok and very useful app but sometimes when i play a video with audio it doesnt stop when i scroll up or down and that thing is very annoying! fix it pls	__FROM__ 	Instagram	problem discovery
my page is kind of off i don't have any pics posted and its still showing 1	__FROM__ 	Instagram	problem discovery
